,M01AB
2019-10-09,5.197869300842285
2019-10-10,5.023481845855713
2019-10-11,5.407517910003662
2019-10-12,5.180896282196045
2019-10-13,4.9414472579956055
2019-10-14,4.823584079742432
2019-10-15,5.131723403930664
2019-10-16,5.40102481842041
2019-10-17,5.375886917114258
2019-10-18,4.857611179351807
2019-10-19,5.368123054504394
2019-10-20,5.175135612487793
2019-10-21,5.264187812805176
2019-10-22,4.77433967590332
2019-10-23,5.014399528503418
2019-10-24,4.9178972244262695
2019-10-25,5.42397928237915
2019-10-26,6.007174491882324
2019-10-27,5.257776260375977
2019-10-28,5.092731475830078
2019-10-29,4.976672649383545
2019-10-30,5.266846179962158
2019-10-31,4.712574005126953
2019-11-01,4.87779140472412
2019-11-02,5.600284576416016
2019-11-03,5.317383766174316
2019-11-04,5.225020885467529
2019-11-05,5.524757385253906
2019-11-06,4.9021782875061035
2019-11-07,5.13948917388916
2019-11-08,5.162284851074219
2019-11-09,5.576506614685059
2019-11-10,5.129592895507813
2019-11-11,5.416743755340575
2019-11-12,4.788151264190674
2019-11-13,4.7381272315979
2019-11-14,5.404850482940674
2019-11-15,5.122530937194824
2019-11-16,5.0815815925598145
2019-11-17,5.268587589263917
2019-11-18,4.804367542266847
2019-11-19,4.895811080932617
2019-11-20,5.234395980834961
2019-11-21,4.892266273498535
2019-11-22,4.919053077697754
2019-11-23,5.211763381958008
2019-11-24,5.456728458404541
2019-11-25,5.25095796585083
2019-11-26,5.543342113494873
2019-11-27,5.360312461853027
2019-11-28,5.1015191078186035
2019-11-29,5.360337734222412
2019-11-30,5.19111967086792
2019-12-01,5.224816799163818
2019-12-02,5.394215106964111
2019-12-03,5.129031181335449
2019-12-04,5.289592266082764
2019-12-05,5.39457893371582
2019-12-06,5.0231194496154785
2019-12-07,4.919173240661622
2019-12-08,5.161231994628906
2019-12-09,5.041015625
2019-12-10,4.656656742095947
2019-12-11,5.550047397613525
2019-12-12,4.481299877166748
2019-12-13,4.901465892791748
2019-12-14,5.231583595275879
2019-12-15,5.085799694061279
2019-12-16,5.118187427520752
2019-12-17,5.1073760986328125
2019-12-18,5.297741413116455
2019-12-19,4.737303256988525
2019-12-20,5.162834167480469
